Match,BPrev,BStreak,B_Age,B_Age Group,B_Height,B_ID,B_Weight,RPrev,RStreak,R_Age,R_Age_Group,R_Height,R_ID,R_Weight,winner,Blue Impact,Red Impact Score
22,0,0,33,30's,177,2273,70,0,0,25,20's,177,2466,70,red,0,0
23,1,1,31,30's,177,1982,70,1,1,35,30's,172,1948,70,blue,3832,651
24,0,0,37,30's,180,1781,84,0,0,32,30's,190,1294,84,red,0,0
25,4,1,46,40's,180,129,84,1,0,39,30's,182,295,84,red,4349,707
26,0,0,37,30's,162,2196,56,0,0,38,30's,167,1170,61,red,0,0
27,2,1,24,20's,177,2724,65,2,1,27,20's,182,2254,65,blue,5955,4258
28,0,0,27,20's,177,2141,70,0,0,35,30's,172,1948,70,red,0,0
29,0,0,29,20's,177,2771,70,1,1,28,20's,177,1919,70,red,0,4558
30,1,0,32,30's,160,2352,52,1,0,24,20's,165,2344,52,red,2651,2261
31,2,0,27,20's,182,2263,77,2,2,21,20's,182,2628,70,blue,8802,2215
