BPrev,BStreak,B_Age,B_Height,B_HomeTown,B_ID,B_Location,B_Name,B_Weight,Date,Event_ID,Fight_ID,Last_round,Max_round,RPrev,R_Age,R_Height,R_HomeTown,R_ID,R_Location,R_Name,R_Weight,winby,winner
2,1,29,177,"Melrose Park, Illinois United States",2989,"Chicago, Illinois United States",Mike Santiago,65,1/15/2018,853,7040,3,3,1,24,175,"Husman, Copenhagen Denmark ",3002,"Husman, Copenhagen Denmark ",Mads Burnell,65,DEC,red
1,1,28,177,"Atlanta , Georgia United States",2944,"D'Iberville, Mississippi United States",Brandon Davis,65,1/21/2018,854,6997,3,3,3,31,170,"Gloucester, Massachusetts United States",2749,"Boston, Massachusetts United States",Kyle Bochniak,65,DEC,red
3,3,27,180,"Bronx, New York United States",2847,"Monroe, New York United States",Shane Burgos,65,1/21/2018,854,6998,3,3,1,30,180,"Methuen, Massachusetts United States",2959,"Methuen, Massachusetts United States",Calvin Kattar,65,KO/TKO,red
2,2,28,165,Rio de Janeiro Brazil,2858,Arraial Do Cabo Brazil,Alexandre Pantoja,56,1/21/2018,854,6999,3,3,10,29,165,"Goshen, Indiana United States",1504,"Franklin, Tennessee United States",Dustin Ortiz,56,DEC,red
5,0,35,177,Rio Grande Norte Brazil,514,"Coconut Creek, Florida United States",Gleison Tibau,70,1/21/2018,854,7000,1,3,4,26,177,Dagestan Russia,2466,Makhachkala Russia,Islam Makhachev,70,KO/TKO,red
3,3,29,187,Fribourg Switzerland,2863,"Coconut Creek, Florida United States",Volkan Oezdemir,93,1/21/2018,854,7002,2,5,8,39,180,"Lafayette, Louisiana United States",1409,"San Jose, California United States",Daniel Cormier,106,KO/TKO,red
6,6,32,193,Batie Cameroon,2659,Las Vegas United States,Francis Ngannou,113,1/21/2018,854,7029,5,5,8,36,193,"Euclid, Ohio United States",1852,"Independence, Ohio United States",Stipe Miocic,109,DEC,red
7,0,38,185,"Xapuri, Acre Brazil",2085,Rio de Janeiro Brazil,Francimar Barroso,93,1/21/2018,854,7047,3,3,9,33,190,"Levittown, New York United States",1742,"Bellmore, New York United States",Gian Villante,93,DEC,red
6,0,31,172,"Leominster, Massachusetts United States",2266,"Woburn, Massachusetts United States",Rob Font,61,1/21/2018,854,7058,2,3,7,27,170,Sao Paulo Brazil,2325,Sao Paulo Brazil,Thomas Almeida,61,KO/TKO,blue
1,1,28,170,"Miami , Florida United States ",2968,"Bayside, New York United States ",Julio Arce,65,1/21/2018,854,7075,3,3,1,27,170,"San Clemente, California United States ",2941,"Haleiwa, Hawaii  United States",Dan Ige,65,DEC,blue
4,2,29,170,Lima Peru,2705,Lima Peru,Enrique Barzola,65,1/21/2018,854,7091,3,3,1,33,177,"Hartford, Connecticut United States",2461,"Bristol, Connecticut  United States",Matt Bessette,65,DEC,blue
6,0,36,165,"Belo Horizonte, MG Brazil",2279,"Belo Horizonte, MG Brazil",Juliana Lima,52,2/10/2018,855,6990,3,3,7,33,162,Baghdad Iraq,2350,"Windsor, Ontario Canada",Randa Markos,52,DEC,red
10,2,34,185,"Wilmington, North Carolina United States",1806,"Wilmington, North Carolina United States",Derek Brunson,84,2/10/2018,855,7003,1,5,7,38,185,Espiritos Santos Brazil,896,Rio de Janeiro Brazil,Jacare Souza,84,KO/TKO,red
1,1,32,167,Ponte dell'Olio Italy,3011,"Coconut Creek, Florida United States",Mara Romero Borella,56,2/10/2018,855,7030,3,3,3,29,175,"Quakertown, Pennsylvania United States",2785,"Kenilworth, New Jersey United States",Katlyn Chookagian,56,DEC,red
1,0,28,170,Incheon South Korea,2889,Incheon South Korea,Ji Yeon Kim,56,2/10/2018,855,7031,3,3,3,30,165,St. Petersburg Russia,2697,"Cramerton, North Carolina United States",Justine Kish,56,DEC,blue
3,3,29,172,"Anapolis, Goias Brazil",2573,Curitiba Brasil,Joaquim Silva,70,2/10/2018,855,7041,3,3,3,35,177,"Lancaster, California United States",1986,"Simi Valley, California United States",Vinc Pichel,70,DEC,red
3,3,31,175,"Rochester, New York United States",2812,"Long Island, New York United States",Gregor Gillespie,70,2/10/2018,855,7042,1,3,2,31,177,"Olean, New York United States",2774,"Charlotte, North Carolina United States",Jordan Rinaldi,70,KO/TKO,blue
5,0,32,177,"Fontana, California United States",1683,"Fontana, California United States",Bobby Green,70,2/10/2018,855,7043,3,3,4,30,177,"Cedar Rapids, Iowa United States",1092,"Milwaukee, Wisconsin United States",Erik Koch,70,DEC,blue
8,1,28,180,"Federal Way, Washington United States ",2119,"Sacramento, California United States ",Andre Fili,65,2/10/2018,855,7050,3,3,8,31,167,"Saugerties, New York United States",1907,"Lindenhurst, New York United States",Dennis Bermudez,65,DEC,blue
6,0,31,170,"Fortaleza, Ceara Brazil",1993,"Fortaleza, Ceara Brazil",Godofredo Pepey,65,2/10/2018,855,7051,1,3,5,27,172,Srebrenica Bosnia,2213,"Montreal, Quebec Canada",Mirsad Bektic,65,KO/TKO,red
5,0,37,182,"Red Bank, New Jersey United States",2174,"Belmar, New Jersey United States",George Sullivan,77,2/10/2018,855,7052,2,3,4,29,182,"Cape Coral, Florida United States",2851,"Cape Coral, Florida United States",Niko Price,77,SUB,red
2,1,29,175,Tamuning Guam,2905,Saipan Northern Mariana Islands ,Frank Camacho,77,2/10/2018,855,7090,3,3,8,29,172,"Omaha, Nebraska United States ",1340,"Denver, Colorado United States",Drew Dober,70,DEC,red
0,0,26,180,"Aurora, Colorado United States",3055,"Aurora, Colorado United States",Cory Sandhagen,61,2/10/2018,855,7107,2,3,1,26,182,"Clarkston, Washington United States",2926,"Clarkston, Washington United States",Austin Arnett,65,KO/TKO,blue
1,1,24,167,"Clovis, California United States ",2955,"Sacramento, California United States ",Joseph Morales,56,2/10/2018,856,7013,2,3,2,30,165,"Soure, Para Brazil",2878,"Soure, Para Brazil",Deiveson Figueiredo,56,KO/TKO,red
5,3,30,193,"Corpus Christi, Texas United States",1843,"Omaha, Nebraska United States",Anthony Smith,93,2/10/2018,856,7015,2,3,11,34,187,Rio de Janeiro Brazil,2087,Rio de Janeiro Brazil,Thiago Santos,93,KO/TKO,red
0,0,30,170,Rio de Janeiro Brazil,3047,"Niteroi, Rio de Janeiro Brazil",Priscila Cachoeira,56,2/10/2018,856,7032,2,3,5,30,165,Bishkek Kyrgyzstan,2731,Lima Peru,Valentina Shevchenko,56,SUB,red
