B_Age,B_Height,B_ID,B_Weight,Event_ID,Fight_ID,R_Age,R_Height,R_ID,R_Weight,winner
36,175,2041,65,652,4609,32,167,2010,56,no contest
33,185,1806,84,677,4933,30,180,1783,77,blue
36,193,808,120,646,4580,37,190,377,119,blue
25,180,2172,77,754,5830,30,180,1783,77,blue
36,195,2215,118,714,5318,34,182,2083,112,blue
35,180,1452,84,761,5928,34,182,1594,84,red
34,170,1179,61,680,4999,28,177,1755,65,blue
33,187,516,93,660,4719,32,187,1189,93,blue
33,172,509,70,787,6223,32,177,524,70,blue
25,175,2070,84,810,6473,39,182,295,84,blue
34,180,2819,70,808,6465,32,180,2316,70,red
33,170,1051,61,801,6419,32,170,961,61,red
37,182,2800,70,792,6324,32,180,2707,70,red
27,170,2177,61,676,4911,34,167,1999,61,blue
27,177,1531,65,813,6555,30,177,2042,70,blue
26,182,2188,77,655,4731,32,180,2187,77,blue
28,165,2880,56,813,6605,28,165,2823,56,blue
24,182,2544,77,725,5431,33,177,2319,77,blue
36,190,1810,84,693,5061,29,185,1926,84,red
29,175,2295,77,679,4963,27,180,2179,70,red
30,162,2299,56,772,5991,30,160,1495,56,red
33,182,2087,84,808,6464,27,182,2831,84,blue
34,165,1034,61,746,5785,27,167,2354,61,red
25,170,2325,61,721,5482,38,167,1170,61,blue
32,180,2509,77,783,6163,30,182,668,77,red
36,185,2732,109,764,5902,32,190,2082,118,red
37,170,1367,70,683,4945,29,175,1983,70,red
27,185,2122,84,745,5632,28,190,2302,84,blue
28,172,1340,70,720,5412,31,175,542,70,red
26,180,2247,77,666,4880,27,182,2248,77,blue
31,177,1891,70,712,5265,29,185,1985,70,red
32,180,2509,77,725,5433,30,180,2508,77,blue
32,175,2208,70,677,4950,28,180,1814,70,blue
28,190,2364,84,816,6546,26,182,2780,93,red
25,175,2166,56,721,5514,37,162,2196,56,blue
30,172,2314,70,713,5276,27,177,2001,70,red
30,170,2781,61,800,6415,32,165,1935,61,blue
32,180,2316,70,688,5017,31,180,2243,70,blue
34,175,2221,61,676,4837,30,180,2138,61,blue
38,175,1997,70,759,5836,32,172,875,70,blue
37,185,2009,93,793,6270,33,190,1499,93,blue
39,190,328,113,783,6156,38,193,367,109,blue
34,180,2151,77,648,4594,35,177,2131,77,red
25,180,2172,77,793,6280,25,182,2329,77,red
35,190,1883,84,647,4603,37,185,896,84,red
25,180,1936,65,706,5371,33,172,1050,65,blue
39,177,330,77,700,5177,31,175,965,77,red
31,172,1976,70,667,4763,28,177,1092,70,blue
30,167,2309,61,810,6562,32,167,1044,61,blue
35,180,2195,93,731,5502,33,182,2087,84,red
30,175,545,65,652,4604,32,177,1486,65,blue
29,185,1985,70,758,5763,33,172,509,70,blue
27,162,2589,61,784,6207,37,167,959,61,blue
31,177,2097,70,647,4625,38,175,1997,70,red
29,175,2130,77,721,5465,37,185,379,77,blue
31,185,2746,70,780,6123,31,172,1675,70,red
32,185,1991,84,732,5503,32,180,1272,77,red
27,177,2168,70,810,6474,31,180,1657,70,red
35,180,471,77,690,5056,33,175,947,84,blue
28,167,2542,52,745,5704,29,157,2342,52,red
31,165,1380,61,711,5325,32,167,1839,61,red
31,162,2084,56,744,5666,32,162,911,56,red
32,182,1850,118,655,4671,38,190,1163,120,red
35,177,648,70,676,4877,31,180,1657,70,red
33,175,501,70,649,4521,30,177,1711,70,red
35,187,2709,77,774,6069,32,180,2707,70,red
30,170,2164,65,685,4981,36,175,1706,61,red
29,180,2611,84,765,5918,34,175,2027,84,blue
29,180,2333,77,791,6260,25,180,2588,77,red
31,187,1331,77,701,5191,33,175,1066,77,red
27,182,2248,77,753,5695,32,180,1543,77,red
29,175,2727,70,756,5897,27,185,2728,65,red
27,185,2122,84,672,4793,34,190,1938,84,red
36,190,1810,84,732,5594,35,185,445,84,blue
35,175,2169,65,655,4673,30,180,2044,70,blue
29,172,1858,61,739,5613,37,170,1060,61,blue
38,170,750,65,665,4751,35,170,459,65,red
30,172,2308,61,717,5402,30,167,2309,61,blue
32,170,533,65,776,6121,25,177,2198,65,red
33,172,2184,70,666,4792,30,180,2093,70,red
26,193,2740,84,792,6364,30,187,2264,84,red
33,170,2293,61,712,5269,33,167,1618,61,red
29,182,2206,77,806,6488,26,182,2855,77,blue
28,165,2824,70,797,6369,27,170,2626,70,blue
35,182,2291,77,766,5965,29,175,2295,77,blue
37,162,2196,56,773,6065,26,165,2103,56,red
36,177,407,77,739,5609,37,180,405,77,red
29,190,2047,77,802,6398,33,175,947,84,blue
26,193,2764,120,790,6305,28,190,2770,111,blue
35,185,449,84,763,5929,31,187,786,84,red
29,177,2774,70,777,6057,33,172,2013,70,red
25,175,2166,56,694,5079,33,167,2125,56,blue
36,167,2304,61,681,4991,28,167,2303,56,blue
30,167,2099,61,729,5456,30,167,1317,61,red
